title,rating,number_of_reviews,category,address,website,phone,img_link,link
BluTit Thrift,4.4,7,Clothing store,"33 Silver St, Leicester LE1 5EU, United Kingdom",,+44 116 253 8348,https://lh5.googleusercontent.com/p/AF1QipPncMtwh7YHK6jA1PzKJtWQ8ylzDPsu17QnbobI=w408-h544-k-no,https://www.google.com/maps/place/BluTit+Thrift/data=!4m7!3m6!1s0x487761426f7e1b11:0x992b4a9a08df177b!8m2!3d52.6354031!4d-1.1356728!16s%2Fg%2F11h7zbz9vp!19sChIJERt-b0Jhd0gRexffCJpKK5k?authuser=0&hl=en&rclk=1
Top Girl,3.7,36,Women's clothing store,"Kemble Gallery, 18a Haymarket, Leicester LE1 3YR, United Kingdom",,+44 116 251 9743,https://lh5.googleusercontent.com/p/AF1QipMRNYZKHGNHhoinTgyrJv6vwbZld7JO8ufB_1j0=w408-h290-k-no,https://www.google.com/maps/place/Top+Girl/data=!4m7!3m6!1s0x4877611ee9d744cb:0x822a5e7af04c2c08!8m2!3d52.637052!4d-1.1314355!16s%2Fg%2F1tf1b7rw!19sChIJy0TX6R5hd0gRCCxM8HpeKoI?authuser=0&hl=en&rclk=1
Yusuf Fashions,4.6,8,Children's clothing store,"35 Wood Hill, Leicester LE5 3SQ, United Kingdom",yusuffashions.co.uk,+44 7988 807901,https://lh5.googleusercontent.com/p/AF1QipOTMC1zkduYPP9WQGdy8n4Q4iVCOJq1AHr8wb7v=w408-h306-k-no,https://www.google.com/maps/place/Yusuf+Fashions/data=!4m7!3m6!1s0x4877616943592e5f:0xfdcfdaa53bc4794b!8m2!3d52.637843!4d-1.104365!16s%2Fg%2F1tf01zyj!19sChIJXy5ZQ2lhd0gRS3nEO6Xaz_0?authuser=0&hl=en&rclk=1
Top Girl,3.7,36,Women's clothing store,"Kemble Gallery, 18a Haymarket, Leicester LE1 3YR, United Kingdom",,+44 116 251 9743,https://lh5.googleusercontent.com/p/AF1QipMRNYZKHGNHhoinTgyrJv6vwbZld7JO8ufB_1j0=w408-h290-k-no,https://www.google.com/maps/place/Top+Girl/data=!4m7!3m6!1s0x4877611ee9d744cb:0x822a5e7af04c2c08!8m2!3d52.637052!4d-1.1314355!16s%2Fg%2F1tf1b7rw!19sChIJy0TX6R5hd0gRCCxM8HpeKoI?authuser=0&hl=en&rclk=1
Yusuf Fashions,4.6,8,Children's clothing store,"35 Wood Hill, Leicester LE5 3SQ, United Kingdom",yusuffashions.co.uk,+44 7988 807901,https://lh5.googleusercontent.com/p/AF1QipOTMC1zkduYPP9WQGdy8n4Q4iVCOJq1AHr8wb7v=w408-h306-k-no,https://www.google.com/maps/place/Yusuf+Fashions/data=!4m7!3m6!1s0x4877616943592e5f:0xfdcfdaa53bc4794b!8m2!3d52.637843!4d-1.104365!16s%2Fg%2F1tf01zyj!19sChIJXy5ZQ2lhd0gRS3nEO6Xaz_0?authuser=0&hl=en&rclk=1
The Vintage Scene Leicester,4.5,42,Vintage clothing store,"40 Silver St, Leicester LE1 5ET, United Kingdom",thevintagescene.com,+44 116 262 9859,https://lh5.googleusercontent.com/p/AF1QipPrFw_zGY605uIY8_p2Qglpgn0PcbplBy28wEC1=w426-h240-k-no,https://www.google.com/maps/place/The+Vintage+Scene+Leicester/data=!4m7!3m6!1s0x4877611fd07e68bf:0x59603cfbdefae8d6!8m2!3d52.6351495!4d-1.1356366!16s%2Fg%2F11bw5m9cyv!19sChIJv2h-0B9hd0gR1uj63vs8YFk?authuser=0&hl=en&rclk=1
Get Fashion - Leicester- Latest Womens Abayas And Dresses .,5.0,1,Women's clothing store,"148 Green Ln Rd, Leicester LE5 3TL, United Kingdom",,+44 7725 449649,https://lh5.googleusercontent.com/p/AF1QipMSOJqxh9NFbX6IwuU6scceZeNSbnquvbIibT3V=w408-h407-k-no,https://www.google.com/maps/place/Get+Fashion+-+Leicester-+Latest+Womens+Abayas+And+Dresses+./data=!4m7!3m6!1s0x4877618a3961ac19:0x904ec507fc5729fd!8m2!3d52.6384562!4d-1.1013923!16s%2Fg%2F11sbd_3t1h!19sChIJGaxhOYphd0gR_SlX_AfFTpA?authuser=0&hl=en&rclk=1
Quiz,3.8,67,Women's clothing store,"40 5 Shires Ln, Leicester LE1 4AN, United Kingdom",quizclothing.co.uk,+44 116 429 1334,https://lh5.googleusercontent.com/p/AF1QipP7ZzdI1M-ocJLK5Y9vdF0JffQIJIVNNq71AuuF=w408-h306-k-no,https://www.google.com/maps/place/Quiz/data=!4m7!3m6!1s0x4877611e31efb5b7:0xfea31344224239b7!8m2!3d52.6362462!4d-1.1354569!16s%2Fg%2F11h1kyxmvs!19sChIJt7XvMR5hd0gRtzlCIkQTo_4?authuser=0&hl=en&rclk=1
Gani's Leicester,4.5,13,Men's clothing store,"82 Green Ln Rd, Leicester LE5 3TJ, United Kingdom",,+44 116 262 1890,https://lh5.googleusercontent.com/p/AF1QipPhRsWaPArAnIBODJ7j3zfhWwsKb8aIo8Yl0WdV=w408-h240-k-no-pi-10-ya37.16-ro-0-fo100,https://www.google.com/maps/place/Gani%27s+Leicester/data=!4m7!3m6!1s0x4877616eb0e0b955:0x6bb82263a0da3841!8m2!3d52.6393819!4d-1.1041538!16s%2Fg%2F1v75rdq8!19sChIJVbngsG5hd0gRQTjaoGMiuGs?authuser=0&hl=en&rclk=1
DEFINE CLOTHING,3.6,11,Clothing store,"156 E Park Rd, Leicester LE5 4QB, United Kingdom",instagram.com,+44 7424 777588,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A4yEt4iLZYDH1tDlNzd_tA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.60236&pitch=0&thumbfov=100,https://www.google.com/maps/place/DEFINE+CLOTHING/data=!4m7!3m6!1s0x487766b702852c27:0xf03d4eea3b914861!8m2!3d52.6354766!4d-1.1028804!16s%2Fg%2F11c5_xf5y3!19sChIJJyyFArdmd0gRYUiRO-pOPfA?authuser=0&hl=en&rclk=1
First Lady,2.7,38,Dress store,"198 Belgrave Rd, Leicester LE4 5AU, United Kingdom",,+44 116 261 2894,https://lh5.googleusercontent.com/p/AF1QipNoB-y0ojlryqe5ajfJusHH_QYeFtEvKu4KZaUp=w408-h725-k-no,https://www.google.com/maps/place/First+Lady/data=!4m7!3m6!1s0x48776108c7e8bd03:0x113839b3bbab2827!8m2!3d52.650109!4d-1.1227214!16s%2Fg%2F1tgdn1m4!19sChIJA73oxwhhd0gRJyiru7M5OBE?authuser=0&hl=en&rclk=1
JACK & JONES,4.4,94,Men's clothing store,"Unit LL86, Highcross Shopping Centre Vaughan Way, Centre, Leicester LE1 4AN, United Kingdom",jackjones.com,+44 116 262 5944,https://lh5.googleusercontent.com/p/AF1QipOx3Ud44dlb13qQvJodPnoQ4K2tTEbDi3niXfeO=w426-h240-k-no,https://www.google.com/maps/place/JACK+%26+JONES/data=!4m7!3m6!1s0x487760e1cd509b1f:0x6362b45cb4ed76d3!8m2!3d52.6359617!4d-1.1361207!16s%2Fg%2F1tjv300h!19sChIJH5tQzeFgd0gR03bttFy0YmM?authuser=0&hl=en&rclk=1
Vivah Fashion,4.5,119,Designer clothing store,"188 Belgrave Rd, Leicester LE4 5AU, United Kingdom",vivahfashion.co.uk,+44 116 266 4444,https://lh5.googleusercontent.com/p/AF1QipNgXakUHpv2jgQVu1MRWafUgUqkL0Lvq5XcL_2F=w408-h300-k-no,https://www.google.com/maps/place/Vivah+Fashion/data=!4m7!3m6!1s0x4877612332c8d313:0x33d1f6dfe6ed594e!8m2!3d52.6506286!4d-1.1221073!16s%2Fg%2F11fkr2kr3b!19sChIJE9PIMiNhd0gRTlnt5t_20TM?authuser=0&hl=en&rclk=1
Ladlee Direct,4.6,373,Clothing store,"103 Belgrave Rd, Leicester LE4 6AS, United Kingdom",ladleedirect.co.uk,+44 116 261 1630,https://lh5.googleusercontent.com/p/AF1QipM4g8ILE7q88glO1Oq2hz_OnWraHycjny-W5-j1=w408-h306-k-no,https://www.google.com/maps/place/Ladlee+Direct/data=!4m7!3m6!1s0x4877610a4a3ead35:0xd00ad584d9a15495!8m2!3d52.649873!4d-1.1222523!16s%2Fg%2F12llr06z7!19sChIJNa0-Sgphd0gRlVSh2YTVCtA?authuser=0&hl=en&rclk=1
Naqsh,3.9,36,Clothing store,"112 E Park Rd, Leicester LE5 4QB, United Kingdom",naqshonline.business.site,+44 116 212 1151,https://lh5.googleusercontent.com/p/AF1QipOUyhcR_RyrcyAz3Lu2Ga8k-cPxHOu2nfWXj26c=w408-h544-k-no,https://www.google.com/maps/place/Naqsh/data=!4m7!3m6!1s0x48776169ab8bad1f:0xe21ffbe2cb83b447!8m2!3d52.6363078!4d-1.1019343!16s%2Fg%2F113dhcbq4!19sChIJH62Lq2lhd0gRR7SDy-L7H-I?authuser=0&hl=en&rclk=1
Jellyrolls luxury Ladies wear,1.0,2,Women's clothing store,"29 Loseby Ln, Leicester LE1 5DR, United Kingdom",jellyrollskidswear.com,+44 116 251 9500,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-EmzdSPp8ppQprM_s0VaRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.893456&pitch=0&thumbfov=100,https://www.google.com/maps/place/Jellyrolls+luxury+Ladies+wear/data=!4m7!3m6!1s0x4877611fdc6ac057:0x3da1afd70aa774ef!8m2!3d52.6350756!4d-1.1360034!16s%2Fg%2F11b6cq5pby!19sChIJV8Bq3B9hd0gR73SnCtevoT0?authuser=0&hl=en&rclk=1
Sofys,2.6,5,Clothing store,"120 Green Ln Rd, Leicester LE5 3TJ, United Kingdom",,+44 7864 535338,https://lh5.googleusercontent.com/p/AF1QipPww3TlOZBYtG7KEBfEUcM4kx9sLjSi-shLvnOo=w408-h429-k-no,https://www.google.com/maps/place/Sofys/data=!4m7!3m6!1s0x487761692b5a15e3:0x99335d97f3bdf0cd!8m2!3d52.6388331!4d-1.1024647!16s%2Fg%2F11f_d84njy!19sChIJ4xVaK2lhd0gRzfC985ddM5k?authuser=0&hl=en&rclk=1
Fame Fashions,3.9,300,Clothing store,"192-196 Melton Rd, Belgrave, Leicester LE4 5EE, United Kingdom",shopatfame.com,+44 116 266 7600,https://lh5.googleusercontent.com/p/AF1QipNYFO_8eP7ohGEE6mL4cgkM2Wa9u8RAz-55ZEtv=w426-h240-k-no,https://www.google.com/maps/place/Fame+Fashions/data=!4m7!3m6!1s0x487761a0e07a4fc9:0x201ce33c1d41ca18!8m2!3d52.6573253!4d-1.1168598!16s%2Fg%2F1tfpzbnk!19sChIJyU964KBhd0gRGMpBHTzjHCA?authuser=0&hl=en&rclk=1
Jaan Leicester Ltd,4.2,53,Clothing store,"48 Buxton St, Leicester LE2 0FH, United Kingdom",jaanleicester.uk,+44 116 253 8808,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R8ipsbVrHhStk09b5D4K2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.4677&pitch=0&thumbfov=100,https://www.google.com/maps/place/Jaan+Leicester+Ltd/data=!4m7!3m6!1s0x4877611533e23fcd:0x4343bb7e77aba222!8m2!3d52.6352584!4d-1.1116164!16s%2Fg%2F1yh9tt7d8!19sChIJzT_iMxVhd0gRIqKrd367Q0M?authuser=0&hl=en&rclk=1
Angelee Punjabi Suits,4.0,40,Women's clothing store,"166 E Park Rd, Leicester LE5 4QB, United Kingdom",,+44 116 274 2600,https://lh5.googleusercontent.com/p/AF1QipNEBSfcqSIx9Ht_WJR8Xs7Llse4a8m3R2Zy6t36=w426-h240-k-no,https://www.google.com/maps/place/Angelee+Punjabi+Suits/data=!4m7!3m6!1s0x48776169aef49933:0x539b3d96bab9585a!8m2!3d52.6352956!4d-1.1030431!16s%2Fg%2F1tkv9873!19sChIJM5n0rmlhd0gRWli5upY9m1M?authuser=0&hl=en&rclk=1
Aniq,4.8,88,Clothing store,"279 St Saviours Rd, Leicester LE5 4HG, United Kingdom",aniq.co.uk,+44 7940 457030,https://lh5.googleusercontent.com/p/AF1QipNbBjJ2FGZ4P7LgQas_rJP-sGQ2U131UatlSfrx=w408-h306-k-no,https://www.google.com/maps/place/Aniq/data=!4m7!3m6!1s0x4877616833b6dc15:0xabb865fea285cd80!8m2!3d52.634359!4d-1.1016341!16s%2Fg%2F1tgcrcqf!19sChIJFdy2M2hhd0gRgM2Fov5luKs?authuser=0&hl=en&rclk=1
Pommygranit Leicester,4.6,10,Clothing store,"6, Odeon Arcade, Leicester LE1 5HJ, United Kingdom",,+44 116 262 5820,https://lh5.googleusercontent.com/p/AF1QipNIyZPNNAWTiy2WQXSqFN0_zUYSb6wGlezpYbzs=w408-h544-k-no,https://www.google.com/maps/place/Pommygranit+Leicester/data=!4m7!3m6!1s0x48776129b93c3ab7:0x8a51499417ff017e!8m2!3d52.6350388!4d-1.1341219!16s%2Fg%2F11g08twbng!19sChIJtzo8uSlhd0gRfgH_F5RJUYo?authuser=0&hl=en&rclk=1
Impeys,4.8,28,Women's clothing store,"1 Loseby Ln, Leicester LE1 5DR, United Kingdom",impeysoccasionwear.co.uk,+44 116 251 7256,https://lh5.googleusercontent.com/p/AF1QipN66TCyXwda1SDsxtjfrsFDg_WIZLMvtwVWCaZ9=w408-h306-k-no,https://www.google.com/maps/place/Impeys/data=!4m7!3m6!1s0x4877611fdc6ac059:0x75f2dc7f04283bc0!8m2!3d52.6344693!4d-1.1356316!16s%2Fg%2F1tfvynfr!19sChIJWcBq3B9hd0gRwDsoBH_c8nU?authuser=0&hl=en&rclk=1
Rima's,5.0,2,Designer clothing store,"110 E Park Rd, Leicester LE5 4QB, United Kingdom",,+44 7980 541756,https://lh5.googleusercontent.com/p/AF1QipOSJdsEDmSrsUoZ7MEIhgF7GiTqctswjcKZTzrZ=w426-h240-k-no,https://www.google.com/maps/place/Rima%27s/data=!4m7!3m6!1s0x487766c0bae2718b:0xf78e5ce0de9da4f9!8m2!3d52.636375!4d-1.101861!16s%2Fg%2F1th27xc0!19sChIJi3HiusBmd0gR-aSd3uBcjvc?authuser=0&hl=en&rclk=1
The Wardrobe,4.1,28,Vintage clothing store,"6, Royal Arcade, Leicester LE1 5YW, United Kingdom",thewardrobeclothing.com,+44 116 253 8983,https://lh5.googleusercontent.com/p/AF1QipNxJvRYsJyKAuKhF-JHkurPViDZgxKmu_uYwYgy=w408-h552-k-no,https://www.google.com/maps/place/The+Wardrobe/data=!4m7!3m6!1s0x4877611fce0068a9:0xa16fd90df8191a54!8m2!3d52.6355266!4d-1.1355669!16s%2Fg%2F1tflrj0x!19sChIJqWgAzh9hd0gRVBoZ-A3Zb6E?authuser=0&hl=en&rclk=1
Top Tier Clothing,5.0,3,Children's clothing store,"95 Upperton Rd, Leicester LE3 0HE, United Kingdom",toptierclothing.com,+44 116 222 0017,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=thI92RQ6D_-1SH3gErFa-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=30.62089&pitch=0&thumbfov=100,https://www.google.com/maps/place/Top+Tier+Clothing/data=!4m7!3m6!1s0x4877610a20693f51:0x5af464abf7545b66!8m2!3d52.6264681!4d-1.1533912!16s%2Fg%2F11rc6y934v!19sChIJUT9pIAphd0gRZltU96tk9Fo?authuser=0&hl=en&rclk=1
Shree Shringar,4.9,47,Women's clothing store,"105/107, First Floor, Belgrave Rd, Leicester LE4 6AS, United Kingdom",shringar.co.uk,+44 116 261 2882,https://lh5.googleusercontent.com/p/AF1QipOxmqd76Mi5WXBrVw8FJ44yN4Yg8Xj1x282QmvW=w408-h544-k-no,https://www.google.com/maps/place/Shree+Shringar/data=!4m7!3m6!1s0x487761e179b61165:0x42c8dfbfa318f1c4!8m2!3d52.6499301!4d-1.1222518!16s%2Fg%2F11sqkkqqjz!19sChIJZRG2eeFhd0gRxPEYo7_fyEI?authuser=0&hl=en&rclk=1
Jeans & Jeans,3.9,20,Clothing store,"Haymarket Shopping Centre, 1 Kildare St, Leicester LE1 3YH, United Kingdom",haymarketshoppingcentre.com,+44 116 262 6967,https://lh5.googleusercontent.com/p/AF1QipN381chpDQNiJyfOCW9PbuRNJLYniBDBZP1yFT9=w408-h539-k-no,https://www.google.com/maps/place/Jeans+%26+Jeans/data=!4m7!3m6!1s0x4877611eea40404d:0xbd7e7e9363bef6df!8m2!3d52.6369911!4d-1.1317796!16s%2Fg%2F12hk64ll7!19sChIJTUBA6h5hd0gR3_a-Y5N-fr0?authuser=0&hl=en&rclk=1
Shehnai Boutique,5.0,2,Clothing store,"108 E Park Rd, Leicester LE5 4QB, United Kingdom",,+44 116 246 0874,https://lh5.googleusercontent.com/p/AF1QipMwm5zNGu-idhf1u2Hpsp8aYflDbyTei7JJ3s-b=w408-h306-k-no,https://www.google.com/maps/place/Shehnai+Boutique/data=!4m7!3m6!1s0x487766c0bae2718b:0x2f37d324c377c03d!8m2!3d52.636385!4d-1.1017478!16s%2Fg%2F1tr9my9p!19sChIJi3HiusBmd0gRPcB3wyTTNy8?authuser=0&hl=en&rclk=1
Chinabox Clothing - Leicester,4.6,21,Women's clothing store,"136 Green Ln Rd, Leicester LE5 3TL, United Kingdom",chinaboxclothing.co.uk,+44 7968 022362,https://lh5.googleusercontent.com/p/AF1QipO3AEa1dYbPrkt8Uj4tvhWaQ9UXe3Q8vIyzxiji=w408-h360-k-no,https://www.google.com/maps/place/Chinabox+Clothing+-+Leicester/data=!4m7!3m6!1s0x48776168cfcf7db9:0x61e17ac8a84acf29!8m2!3d52.6385678!4d-1.1017568!16s%2Fg%2F11b6qx5w3x!19sChIJuX3Pz2hhd0gRKc9KqMh64WE?authuser=0&hl=en&rclk=1
Top Fashion Leicester Ltd,4.8,9,Clothing store,"195 Gwendolen Rd, Leicester LE5 5FN, United Kingdom",,+44 116 319 9373,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G0ac85xyGCYmkSWq2rb1oA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.59157&pitch=0&thumbfov=100,https://www.google.com/maps/place/Top+Fashion+Leicester+Ltd/data=!4m7!3m6!1s0x4877615cc3b5c307:0x92aa6b22c17f65c1!8m2!3d52.6293923!4d-1.0995838!16s%2Fg%2F11bzsyfnqk!19sChIJB8O1w1xhd0gRwWV_wSJrqpI?authuser=0&hl=en&rclk=1
BOSS Menswear Store,4.3,98,Men's clothing store,"5 Shires Ln, Highcross, Leicester LE1 4AN, United Kingdom",hugoboss.com,+44 116 242 9100,https://lh5.googleusercontent.com/p/AF1QipOCQwY9I7NuFAj3BcgEYQqX-cvSUKYE9yYtjB-5=w408-h300-k-no,https://www.google.com/maps/place/BOSS+Menswear+Store/data=!4m7!3m6!1s0x487760e1bc81176f:0xe02af1dc49540379!8m2!3d52.6357465!4d-1.1375098!16s%2Fg%2F1q5hsk3yg!19sChIJbxeBvOFgd0gReQNUSdzxKuA?authuser=0&hl=en&rclk=1
Pallavi Leicester,5.0,2,Clothing store,"79 Belgrave Rd, Leicester LE4 6AS, United Kingdom",,+44 7853 204741,https://lh5.googleusercontent.com/p/AF1QipMzPU6ROSsfyWAYL31J7piwf748XhaX_t_JrRJt=w408-h240-k-no-pi-20-ya323.34-ro-0-fo100,https://www.google.com/maps/place/Pallavi+Leicester/data=!4m7!3m6!1s0x48776108ce6b57c1:0xae72c052e5b67637!8m2!3d52.6490933!4d-1.1228504!16s%2Fg%2F1tmql8xr!19sChIJwVdrzghhd0gRN3a25VLAcq4?authuser=0&hl=en&rclk=1
Just Fair Trade,4.4,34,Clothing store,"36 Silver St, Leicester LE1 5ET, United Kingdom",justfairtrade.com,+44 116 253 8032,https://lh5.googleusercontent.com/p/AF1QipPvYNfLyfiQFpSZVL8mUNvL0D27OV0LhDm-VueR=w513-h240-k-no,https://www.google.com/maps/place/Just+Fair+Trade/data=!4m7!3m6!1s0x4877611fb64dae69:0xdc44ef9b97422d75!8m2!3d52.6352368!4d-1.1353692!16s%2Fg%2F1tg_8_6b!19sChIJaa5Nth9hd0gRdS1Cl5vvRNw?authuser=0&hl=en&rclk=1
Deepam Leicester,3.8,10,Clothing store,"111-113 Belgrave Rd, Leicester LE4 6AS, United Kingdom",deepamleicester.co.uk,+44 116 266 1244,https://lh5.googleusercontent.com/p/AF1QipOgOxQAuWJiIHp9DP7afZz4BcXJgc0b7watmcBU=w408-h544-k-no,https://www.google.com/maps/place/Deepam+Leicester/data=!4m7!3m6!1s0x4877617fa6e527d5:0x53dd0d8d181c644d!8m2!3d52.6501451!4d-1.1221522!16s%2Fg%2F11rdc68lnv!19sChIJ1Sflpn9hd0gRTWQcGI0N3VM?authuser=0&hl=en&rclk=1
THE KIDZ FASHION,5.0,48,Children's clothing store,"20 Mere Rd, Leicester LE5 3HQ, United Kingdom",thekidzfashion.co.uk,+44 116 251 8066,https://lh5.googleusercontent.com/p/AF1QipOAdxqS5h8e-o9V9v7_tHjEMrFpuTS5IMsFL-zr=w426-h240-k-no,https://www.google.com/maps/place/THE+KIDZ+FASHION/data=!4m7!3m6!1s0x4877616c79d681d9:0x8a760a059adf3fbe!8m2!3d52.639327!4d-1.1073898!16s%2Fg%2F11clzj3x79!19sChIJ2YHWeWxhd0gRvj_fmgUKdoo?authuser=0&hl=en&rclk=1
Euro Outlet,5.0,1,Clothing store,"Church Gate, Leicester LE1 3AN, United Kingdom",,+44 116 367 8062,https://lh5.googleusercontent.com/p/AF1QipPy3LprBiL0dbx6u_ps-oFD_Z3bg-J0CXwrb6kj=w408-h240-k-no-pi-0-ya11.92001-ro-0-fo100,https://www.google.com/maps/place/Euro+Outlet/data=!4m7!3m6!1s0x48776125f92b942b:0xbb4c54bc9a59bd7b!8m2!3d52.6372911!4d-1.1341426!16s%2Fg%2F11g196t38c!19sChIJK5Qr-SVhd0gRe71ZmrxUTLs?authuser=0&hl=en&rclk=1
